what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1289215517072
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215517072
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.close",1289215517090
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215531239
started,bundle,com.sysdeo.eclipse.tomcat,3.2.1,"com.sysdeo.eclipse.tomcat",1289215537274
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1289215572193
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1289215578239
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1289215583817
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215592629
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215619549
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215627216
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1289215627231
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215633597
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215633626
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215639843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215644604
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215645527
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215646610
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215647039
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215697709
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1289215699457
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215704714
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.TypeHierarchy",1289215715525
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.TypeHierarchy",1289215715543
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1289215720325
